,column_name,label,unit,lower_lim,upper_lim,type
0,TotalRR,TotalRR,[-],0,1,groundwater
1,EventRR,EventRR,[-],0,1,groundwater
2,RR_Seasonality,RR_Seasonality,[-],0,4,groundwater
3,StorageFraction_1,StorageFraction,[-],0,1.2,groundwater
4,StorageFraction_2,ActiveStorage,[mm],0,1500,groundwater
5,StorageFraction_3,TotalStorage,[mm],0,1500,groundwater
6,Recession_a_Seasonality,Recession_a_Seasonality,[-],0,6,groundwater
7,AverageStorage,AverageStorage,[mm],0,600,groundwater
8,RecessionParameters_1,RecessionParameters_b,[-],0,1,groundwater
9,RecessionParameters_2,RecessionParameters_T0,[d],0,2,groundwater
10,MRC_num_segments,MRC_num_segments,[-],0.5,3.5,groundwater
11,BFI,BFI,[-],0,1,groundwater
12,BaseflowRecessionK,BaseflowRecessionK,[1/d],0,0.6,groundwater
13,First_Recession_Slope,First_Recession_Slope,[1/d],0,1.5,groundwater
14,Mid_Recession_Slope,Mid_Recession_Slope,[1/d],0,0.6,groundwater
15,EventRR_TotalRR_ratio,EventRR_TotalRR_ratio,[-],0,1,groundwater
16,VariabilityIndex,VariabilityIndex,[-],0,1,groundwater
17,IE_effect,IE_effect,[-],-0.4,0.8,overlandflow
18,SE_effect,SE_effect,[-],0,1,overlandflow
19,IE_thresh_signif,IE_thresh_signif,[-],0,1,overlandflow
20,SE_thresh_signif,SE_thresh_signif,[-],0,1,overlandflow
21,IE_thresh,IE_thresh,[mm/d],0,60,overlandflow
22,SE_thresh,SE_thresh,[mm],0,150,overlandflow
23,SE_slope,SE_slope,[mm/mm],0,1,overlandflow
24,Storage_thresh_signif,Storage_thresh_signif,[-],0,1,overlandflow
25,Storage_thresh,Storage_thresh,[mm],0,150,overlandflow
